,raw,kk,normalized-stress,minopt,sheppard,sheppardscale,ratios,kruskal
grafo11129,"['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['tsnet', 'random', 'stress', 'neato', 'sfdp', 'twopi']","['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['stress', 'neato', 'tsnet', 'sfdp', 'twopi', 'random']","['neato', 'stress', 'tsnet', 'sfdp', 'twopi', 'random']","['stress', 'neato', 'tsnet', 'sfdp', 'twopi', 'random']","['neato', 'stress', 'sfdp', 'twopi', 'random', 'tsnet']","['neato', 'stress', 'tsnet', 'sfdp', 'twopi', 'random']"
grafo11133,"['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['random', 'stress', 'tsnet', 'neato', 'sfdp', 'twopi']","['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['neato', 'stress', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']",,"['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']"
grafo11136,"['stress', 'tsnet', 'random', 'sfdp', 'neato', 'twopi']","['random', 'stress', 'tsnet', 'sfdp', 'neato', 'twopi']","['stress', 'tsnet', 'random', 'sfdp', 'neato', 'twopi']","['neato', 'stress', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']",,"['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']"
grafo1115,"['stress', 'random', 'tsnet', 'neato', 'twopi', 'sfdp']","['tsnet', 'random', 'stress', 'neato', 'sfdp', 'twopi']","['stress', 'random', 'tsnet', 'neato', 'twopi', 'sfdp']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'tsnet', 'sfdp', 'twopi', 'random']","['neato', 'sfdp', 'stress', 'tsnet', 'twopi', 'random']","['sfdp', 'neato', 'stress', 'twopi', 'random', 'tsnet']","['stress', 'neato', 'tsnet', 'sfdp', 'twopi', 'random']"
grafo11150,"['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['random', 'stress', 'tsnet', 'sfdp', 'neato', 'twopi']","['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'sfdp', 'neato', 'tsnet', 'twopi', 'random']","['stress', 'sfdp', 'neato', 'tsnet', 'twopi', 'random']",,"['stress', 'sfdp', 'neato', 'tsnet', 'twopi', 'random']"
grafo11159,"['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['random', 'stress', 'tsnet', 'sfdp', 'neato', 'twopi']","['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']",,"['stress', 'neato', 'tsnet', 'sfdp', 'twopi', 'random']"
grafo11166,"['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['tsnet', 'random', 'stress', 'neato', 'sfdp', 'twopi']","['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['stress', 'tsnet', 'neato', 'sfdp', 'twopi', 'random']","['tsnet', 'stress', 'neato', 'sfdp', 'twopi', 'random']","['stress', 'tsnet', 'neato', 'sfdp', 'twopi', 'random']","['stress', 'sfdp', 'neato', 'twopi', 'tsnet', 'random']","['stress', 'tsnet', 'neato', 'sfdp', 'twopi', 'random']"
grafo11169,"['stress', 'tsnet', 'random', 'sfdp', 'neato', 'twopi']","['random', 'stress', 'tsnet', 'sfdp', 'neato', 'twopi']","['stress', 'tsnet', 'random', 'sfdp', 'neato', 'twopi']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']",,"['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']"
grafo1119,"['stress', 'random', 'tsnet', 'neato', 'twopi', 'sfdp']","['random', 'stress', 'neato', 'sfdp', 'tsnet', 'twopi']","['stress', 'random', 'neato', 'tsnet', 'twopi', 'sfdp']","['stress', 'neato', 'sfdp', 'twopi', 'tsnet', 'random']","['stress', 'sfdp', 'neato', 'twopi', 'tsnet', 'random']","['stress', 'sfdp', 'neato', 'twopi', 'tsnet', 'random']","['stress', 'neato', 'twopi', 'sfdp', 'tsnet', 'random']","['stress', 'neato', 'sfdp', 'twopi', 'tsnet', 'random']"
grafo11195,"['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['random', 'stress', 'tsnet', 'neato', 'sfdp', 'twopi']","['stress', 'tsnet', 'random', 'neato', 'sfdp', 'twopi']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']","['stress', 'sfdp', 'neato', 'tsnet', 'twopi', 'random']","['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']",,"['stress', 'neato', 'sfdp', 'tsnet', 'twopi', 'random']"
